,Unnamed: 0,Unnamed: 0.1,postcode,age_0_14,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85_plus,tot_P,both_par_os,both_par_aus,f_only_os,m_only_os,born_aus,born_os,diversity,suburb,lat,lon,diversity_std,age_diversity_std
45,45,45,3023,15303,8430,10000,11485,8054,5602,3317,1349,421,63972,0.71877645,0.191894911,0.052358059000000005,0.036970578999999996,0.5323379779999999,0.467662022,140642.2903,RAVENHALL,-37.766501,144.738709,0.663760396,0.9479220956437434
46,46,46,3024,6459,2844,4589,3968,2616,1809,1064,397,95,23849,0.4733709270000001,0.411027569,0.06471536,0.050886144,0.655833706,0.344166294,38496.59352,MOUNT COTTRELL,-37.765159999999995,144.609501,0.18168442899999998,0.9281657929235232
47,47,47,3024,6459,2844,4589,3968,2616,1809,1064,397,95,23849,0.4733709270000001,0.411027569,0.06471536,0.050886144,0.655833706,0.344166294,38496.59352,WYNDHAM VALE,-37.891641,144.629467,0.18168442899999998,0.9281657929235232
48,48,48,3024,6459,2844,4589,3968,2616,1809,1064,397,95,23849,0.4733709270000001,0.411027569,0.06471536,0.050886144,0.655833706,0.344166294,38496.59352,MAMBOURIN,-37.899873,144.556552,0.18168442899999998,0.9281657929235232
49,49,49,3025,2253,1292,1860,1752,1310,1035,1033,1130,499,12152,0.599000179,0.273968934,0.080521335,0.046509552,0.594192443,0.40580755700000004,22501.98755,ALTONA GATE,-37.825297,144.842988,0.106197987,0.9916059826635168
50,50,50,3025,2253,1292,1860,1752,1310,1035,1033,1130,499,12152,0.599000179,0.273968934,0.080521335,0.046509552,0.594192443,0.40580755700000004,22501.98755,ALTONA NORTH,-37.842878999999996,144.850049,0.106197987,0.9916059826635168
51,51,51,3025,2253,1292,1860,1752,1310,1035,1033,1130,499,12152,0.599000179,0.273968934,0.080521335,0.046509552,0.594192443,0.40580755700000004,22501.98755,ALTONA EAST,-37.835657,144.85995,0.106197987,0.9916059826635168
52,52,52,3026,3,6,0,0,29,15,16,4,0,73,0.611111111,0.38888888899999996,0.0,0.0,0.465517241,0.534482759,156.83333330000005,LAVERTON NORTH,-37.841653,144.795959,0.0007401739999999999,0.816731135029598
53,53,53,3027,1754,664,1743,1407,588,355,115,20,7,6646,0.79536802,0.137690355,0.03696066,0.029980964,0.404110672,0.5958893279999999,18847.48652,LAVERTON RAAF,-37.859941,144.760517,0.08895059300000001,0.8853691365956609
54,54,54,3028,5149,3668,5077,4048,4074,3547,2167,1077,400,29201,0.563997513,0.32092036399999996,0.066247211,0.048834912,0.600826054,0.399173946,54606.86462000001,ALTONA MEADOWS,-37.871632,144.778084,0.257716751,0.9759228100018713
55,55,55,3028,5149,3668,5077,4048,4074,3547,2167,1077,400,29201,0.563997513,0.32092036399999996,0.066247211,0.048834912,0.600826054,0.399173946,54606.86462000001,LAVERTON,-37.866939,144.761748,0.257716751,0.9759228100018713
56,56,56,3028,5149,3668,5077,4048,4074,3547,2167,1077,400,29201,0.563997513,0.32092036399999996,0.066247211,0.048834912,0.600826054,0.399173946,54606.86462000001,SEABROOK,-37.877626,144.75777,0.257716751,0.9759228100018713
57,57,57,3029,23535,11751,19187,15141,10285,7515,4473,1634,422,93950,0.668192977,0.243254353,0.050562375,0.037990294,0.522216585,0.477783415,211887.1374,TARNEIT,-37.823738,144.692893,1.0,0.9355171875269853
58,58,58,3029,23535,11751,19187,15141,10285,7515,4473,1634,422,93950,0.668192977,0.243254353,0.050562375,0.037990294,0.522216585,0.477783415,211887.1374,TRUGANINA,-37.825004,144.748931,1.0,0.9355171875269853
59,59,59,3029,23535,11751,19187,15141,10285,7515,4473,1634,422,93950,0.668192977,0.243254353,0.050562375,0.037990294,0.522216585,0.477783415,211887.1374,HOPPERS CROSSING,-37.882636,144.700297,1.0,0.9355171875269853
60,60,60,3030,24485,11621,16825,17697,12678,8659,5041,2384,926,100313,0.584838041,0.309095907,0.061548545,0.044517507000000005,0.5741861229999999,0.425813877,201626.9136,POINT COOK,-37.914615999999995,144.751038,0.9515769390000001,0.9467734006100726
61,61,61,3030,24485,11621,16825,17697,12678,8659,5041,2384,926,100313,0.584838041,0.309095907,0.061548545,0.044517507000000005,0.5741861229999999,0.425813877,201626.9136,WERRIBEE SOUTH,-37.903337,144.657731,0.9515769390000001,0.9467734006100726
62,62,62,3030,24485,11621,16825,17697,12678,8659,5041,2384,926,100313,0.584838041,0.309095907,0.061548545,0.044517507000000005,0.5741861229999999,0.425813877,201626.9136,COCOROC,-37.969994,144.582987,0.9515769390000001,0.9467734006100726
63,63,63,3030,24485,11621,16825,17697,12678,8659,5041,2384,926,100313,0.584838041,0.309095907,0.061548545,0.044517507000000005,0.5741861229999999,0.425813877,201626.9136,QUANDONG,-37.838725,144.554915,0.9515769390000001,0.9467734006100726
64,64,64,3030,24485,11621,16825,17697,12678,8659,5041,2384,926,100313,0.584838041,0.309095907,0.061548545,0.044517507000000005,0.5741861229999999,0.425813877,201626.9136,WERRIBEE,-37.903337,144.657731,0.9515769390000001,0.9467734006100726
65,65,65,3030,24485,11621,16825,17697,12678,8659,5041,2384,926,100313,0.584838041,0.309095907,0.061548545,0.044517507000000005,0.5741861229999999,0.425813877,201626.9136,DERRIMUT,-37.797549,144.771097,0.9515769390000001,0.9467734006100726
66,66,66,3031,2910,2281,4855,3127,2059,1598,935,536,218,18531,0.489475881,0.383101783,0.073281259,0.054141077,0.6320608870000001,0.367939113,30941.659560000004,FLEMINGTON,-37.788375,144.93147199999999,0.146028966,0.9446128265394395
67,67,67,3031,2910,2281,4855,3127,2059,1598,935,536,218,18531,0.489475881,0.383101783,0.073281259,0.054141077,0.6320608870000001,0.367939113,30941.659560000004,KENSINGTON,-37.794333,144.929217,0.146028966,0.9446128265394395
68,68,68,3032,4674,4090,6671,4575,3772,2922,1605,782,355,29450,0.544248112,0.348522619,0.061588093,0.045641176,0.6081353939999999,0.391864606,53371.79359,ASCOT VALE,-37.77583,144.923377,0.251887841,0.9588338574779183
69,69,69,3032,4674,4090,6671,4575,3772,2922,1605,782,355,29450,0.544248112,0.348522619,0.061588093,0.045641176,0.6081353939999999,0.391864606,53371.79359,MARIBYRNONG,-37.772228999999996,144.886116,0.251887841,0.9588338574779183
70,70,70,3032,4674,4090,6671,4575,3772,2922,1605,782,355,29450,0.544248112,0.348522619,0.061588093,0.045641176,0.6081353939999999,0.391864606,53371.79359,TRAVANCORE,-37.777772999999996,144.929915,0.251887841,0.9588338574779183
71,71,71,3032,4674,4090,6671,4575,3772,2922,1605,782,355,29450,0.544248112,0.348522619,0.061588093,0.045641176,0.6081353939999999,0.391864606,53371.79359,HIGHPOINT CITY,-37.773272,144.888794,0.251887841,0.9588338574779183
72,72,72,3033,2496,1561,1661,1953,1982,1487,1749,1237,383,14514,0.48885966799999997,0.397034115,0.069325736,0.044780481,0.6946208309999999,0.305379169,20921.637740000002,KEILOR EAST,-37.736264,144.796336,0.09873953699999999,0.9943642495569858
73,73,73,3034,1786,1179,1440,1521,1446,1296,1430,1146,397,11633,0.6518240829999999,0.245679803,0.063911493,0.038584621,0.567830882,0.43216911799999996,23512.10922,AVONDALE HEIGHTS,-37.74228400000001,144.81515,0.11096525,1.0
74,74,74,3036,1005,790,521,662,907,802,727,338,185,5925,0.39537777799999996,0.4704,0.080711111,0.05351111099999999,0.7731720329999999,0.226827967,6376.387467000001,KEILOR,-37.718965000000004,144.83416599999995,0.03009332,0.9899789153775612
75,75,75,3036,1005,790,521,662,907,802,727,338,185,5925,0.39537777799999996,0.4704,0.080711111,0.05351111099999999,0.7731720329999999,0.226827967,6376.387467000001,KEILOR NORTH,-37.704771,144.814229,0.03009332,0.9899789153775612
76,76,76,3037,11860,7410,7181,8601,7272,4715,2547,1092,471,51155,0.626346023,0.26183368,0.06681216400000001,0.045008133,0.61660781,0.38339219,92827.04677,TAYLORS HILL,-37.710381,144.76679099999996,0.43809665799999997,0.9527585648639737
77,77,77,3037,11860,7410,7181,8601,7272,4715,2547,1092,471,51155,0.626346023,0.26183368,0.06681216400000001,0.045008133,0.61660781,0.38339219,92827.04677,DELAHEY,-37.715579,144.780474,0.43809665799999997,0.9527585648639737
78,78,78,3037,11860,7410,7181,8601,7272,4715,2547,1092,471,51155,0.626346023,0.26183368,0.06681216400000001,0.045008133,0.61660781,0.38339219,92827.04677,HILLSIDE,-37.691437,144.74002,0.43809665799999997,0.9527585648639737
79,79,79,3037,11860,7410,7181,8601,7272,4715,2547,1092,471,51155,0.626346023,0.26183368,0.06681216400000001,0.045008133,0.61660781,0.38339219,92827.04677,SYDENHAM,-37.70004,144.764617,0.43809665799999997,0.9527585648639737
80,80,80,3038,4362,4221,3220,3100,4402,4211,2395,1028,321,27262,0.610731295,0.27465816600000004,0.06974957799999999,0.044860962000000004,0.63474724,0.36525276,47147.00411,TAYLORS LAKES,-37.69875800000001,144.78766000000005,0.222509987,0.9784525233148986
81,81,81,3038,4362,4221,3220,3100,4402,4211,2395,1028,321,27262,0.610731295,0.27465816600000004,0.06974957799999999,0.044860962000000004,0.63474724,0.36525276,47147.00411,WATERGARDENS,-37.698952,144.777576,0.222509987,0.9784525233148986
82,82,82,3038,4362,4221,3220,3100,4402,4211,2395,1028,321,27262,0.610731295,0.27465816600000004,0.06974957799999999,0.044860962000000004,0.63474724,0.36525276,47147.00411,KEILOR LODGE,-37.695768,144.797032,0.222509987,0.9784525233148986
83,83,83,3038,4362,4221,3220,3100,4402,4211,2395,1028,321,27262,0.610731295,0.27465816600000004,0.06974957799999999,0.044860962000000004,0.63474724,0.36525276,47147.00411,KEILOR DOWNS,-37.725726,144.811346,0.222509987,0.9784525233148986
